"Klassifikation der Wirtschaftszweige, Ausgabe 2025";"";"";""
"Dateiinhalt: Gliederung";"";"";""
"Sprache: Klassifikation der Wirtschaftszweige, Ausgabe 2025";"";"";""
"Freigabedatum: 26.09.2024 00:00:00 (GMT+0200)";"";"";""
"Letzte Aktualisierung: 30.03.2026 20:26:30 (GMT+0200)";"";"";""
"Weitere Informationen: klassifikationsserver.de";"";"";""
"Copyright:";"";"";""
"Eigentümer:";"";"";""
"Schlüssel WZ 2025";"Ebene";"Titel";"Maßeinheit"
"A";"1";"LAND- UND FORSTWIRTSCHAFT, FISCHEREI";""
"01";"2";"Landwirtschaft, Jagd und damit verbundene Tätigkeiten";""
"01.1";"3";"Anbau ein- und zweijähriger Pflanzen";""
"01.11";"4";"Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten";""
"01.11.0";"5";"Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten";""
"01.12";"4";"Anbau von Reis";""
"01.12.0";"5";"Anbau von Reis";""
"01.13";"4";"Anbau von Gemüse und Melonen sowie Wurzeln und Knollen";""
"01.13.1";"5";"Anbau von Gemüse und Melonen";""
"01.13.2";"5";"Anbau von Kartoffeln sowie sonstigen Wurzeln und Knollen";""
"01.14";"4";"Anbau von Zuckerrohr";""
"01.14.0";"5";"Anbau von Zuckerrohr";""
"01.15";"4";"Anbau von Tabak";""
"01.15.0";"5";"Anbau von Tabak";""
"01.16";"4";"Anbau von Faserpflanzen";""
"01.16.0";"5";"Anbau von Faserpflanzen";""
"01.19";"4";"Anbau von sonstigen ein- und zweijährigen Pflanzen";""
"01.19.1";"5";"Anbau von Zierpflanzen zum Schnitt";""
"01.19.2";"5";"Erzeugung von Blumensamen";""
"01.19.9";"5";"Anbau von sonstigen ein- und zweijährigen Pflanzen a. n. g.";""
"01.2";"3";"Anbau mehrjähriger Pflanzen";""
"01.21";"4";"Anbau von Wein- und Tafeltrauben";""
"01.21.0";"5";"Anbau von Wein- und Tafeltrauben";""
"01.22";"4";"Anbau von tropischen und subtropischen Früchten";""
"01.22.0";"5";"Anbau von tropischen und subtropischen Früchten";""
"01.23";"4";"Anbau von Zitrusfrüchten";""
"01.23.0";"5";"Anbau von Zitrusfrüchten";""
"01.24";"4";"Anbau von Kern- und Steinobst";""
"01.24.0";"5";"Anbau von Kern- und Steinobst";""
"01.25";"4";"Anbau von sonstigem Obst und Nüssen";""
"01.25.1";"5";"Anbau von Erdbeeren";""
"01.25.9";"5";"Anbau von sonstigem Obst und Nüssen a. n. g.";""
"01.26";"4";"Anbau von ölhaltigen Früchten";""
"01.26.0";"5";"Anbau von ölhaltigen Früchten";""
"01.27";"4";"Anbau von Pflanzen zur Herstellung von Getränken";""
"01.27.0";"5";"Anbau von Pflanzen zur Herstellung von Getränken";""
"01.28";"4";"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke";""
"01.28.0";"5";"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke";""
"01.29";"4";"Anbau sonstiger mehrjähriger Pflanzen";""
"01.29.0";"5";"Anbau sonstiger mehrjähriger Pflanzen";""
